identifier,filechunk_fileId,filechunk_createUserEmail,filechunk_createDate,filechunk_modUserEmail,filechunk_modDate,filechunk_index,filechunk_content
70005,100006,system@vosao.org,Thu Mar 13 09:32:46 CET 2014,system@vosao.org,Thu Mar 13 09:32:46 CET 2014,0,3C426C6F623A20343430312062797465733E
70007,100008,system@vosao.org,Thu Mar 13 09:32:48 CET 2014,system@vosao.org,Thu Mar 13 09:32:48 CET 2014,0,3C426C6F623A20313530372062797465733E
70011,100012,system@vosao.org,Thu Mar 13 09:32:52 CET 2014,system@vosao.org,Thu Mar 13 09:32:52 CET 2014,0,3C426C6F623A2032303735302062797465733E
8,10007,system@vosao.org,Thu Mar 13 09:32:48 CET 2014,system@vosao.org,Thu Mar 13 09:32:48 CET 2014,0,3C426C6F623A2031393739372062797465733E
80003,70002,system@vosao.org,Thu Mar 13 09:32:42 CET 2014,system@vosao.org,Thu Mar 13 09:32:42 CET 2014,0,3C426C6F623A20313238302062797465733E
80005,70004,system@vosao.org,Thu Mar 13 09:32:45 CET 2014,system@vosao.org,Thu Mar 13 09:32:45 CET 2014,0,3C426C6F623A203732332062797465733E
80007,70006,system@vosao.org,Thu Mar 13 09:32:47 CET 2014,system@vosao.org,Thu Mar 13 09:32:47 CET 2014,0,3C426C6F623A203639382062797465733E
80009,70008,system@vosao.org,Thu Mar 13 09:32:49 CET 2014,system@vosao.org,Thu Mar 13 09:32:49 CET 2014,0,3C426C6F623A2031303532322062797465733E
9,10009,system@vosao.org,Thu Mar 13 09:32:49 CET 2014,system@vosao.org,Thu Mar 13 09:32:49 CET 2014,0,3C426C6F623A203936332062797465733E
90003,110002,system@vosao.org,Thu Mar 13 09:32:43 CET 2014,system@vosao.org,Thu Mar 13 09:32:43 CET 2014,0,3C426C6F623A20343634322062797465733E
90005,110004,system@vosao.org,Thu Mar 13 09:32:46 CET 2014,system@vosao.org,Thu Mar 13 09:32:46 CET 2014,0,3C426C6F623A20363139392062797465733E
